name,time,buildinglist
Rose,A,E14
Rose,A,N2
Rose,A,E16
Rose,A,E11
Rose,A,E9
Rose,A,N6
Rose,A,E12
Rose,A,W9
Rose,A,E13
Rose,A,E15
Rose,A,N7
Rose,A,E8
Rose,A,E3
Rose,A,E6
Rose,A,E10
Rose,A,E7
Rose,A,W8
Rose,A,E2
Rose,A,N1
Rose,A,E5
Lily,B,W4
Lily,B,E13
Lily,B,E19
Lily,B,E1
Lily,B,E8
Lily,B,E3
Lily,B,W16
Lily,B,N0
Lily,B,E18
Lily,B,W2
Lily,B,E10
Lily,B,E9
Lily,B,E21
Lily,B,N6
Lily,B,E17
Lily,B,W1
Lily,B,N1
Lily,B,E20
Sung,C,E14
Sung,C,N2
Sung,C,E16
Sung,C,E11
Sung,C,E9
Sung,C,N5
Sung,C,N6
Sung,C,N22
Sung,C,E12
Sung,C,W9
Sung,C,N4
Sung,C,N24
Sung,C,E13
Sung,C,N7
Sung,C,E15
Sung,C,E8
Sung,C,E6
Sung,C,E3
Sung,C,E10
Sung,C,N3
Sung,C,E7
Sung,C,W8
Sung,C,N9
Sung,C,N23
Sung,C,E2
Sung,C,N26
Sung,C,N1
Sung,C,E5
Yoon,A,N22
Yoon,A,E7
Yoon,A,N1
Yoon,A,E16
Yoon,A,N4
Yoon,A,N3
Yoon,A,N5
Yoon,A,E2
Yoon,A,N2
Yoon,A,E15
Yoon,A,N6
Yoon,A,N9
Yoon,A,E3
Yoon,A,E10
Yoon,A,N12
Yoon,A,E13
Yoon,A,E9
Yoon,A,E8
Yoon,A,N25
Yoon,A,E6
Yoon,A,E11
Mi,A,E9
Mi,A,E3
Mi,A,N4
Mi,A,N6
Mi,A,E6
Mi,A,N12
Mi,A,N3
Mi,A,N1
Mi,A,N25
Mi,A,E2
Mi,A,E16
Mi,A,E15
Mi,A,E7
Mi,A,N2
Mi,A,N5
Mi,A,E10
Mi,A,N22
Mi,A,E13
Mi,A,E11
Mi,A,E8
Mi,A,N9
w,A,N12
w,A,N4
w,A,E10
w,A,N25
w,A,E11
w,A,N22
w,A,N1
w,A,E2
w,A,E7
w,A,E16
w,A,E8
w,A,N2
w,A,E9
w,A,N9
w,A,N5
w,A,E6
w,A,N6
w,A,E3
w,A,E13
w,A,N3
w,A,E15
Rose,A,N22
Rose,A,E9
Rose,A,N12
Rose,A,N5
Rose,A,E11
Rose,A,N3
Rose,A,E15
Rose,A,E2
Rose,A,E13
Rose,A,N6
Rose,A,E7
Rose,A,E10
Rose,A,N2
Rose,A,N1
Rose,A,E6
Rose,A,N4
Rose,A,N9
Rose,A,E8
Rose,A,E16
Rose,A,N25
Ha,A,N22
Ha,A,N25
Ha,A,E13
Ha,A,E7
Ha,A,E15
Ha,A,E2
Ha,A,E11
Ha,A,N9
Ha,A,N12
Ha,A,N3
Ha,A,E10
Ha,A,E9
Ha,A,N1
Ha,A,N2
Ha,A,N5
Ha,A,E16
Ha,A,N6
Ha,A,E8
Ha,A,E6
Ha,A,N4
